comment,labels
ok lắm ak.rất vừa vặn  👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍.,2.0
Giá rẻ đi vào nhìn thời trang phết. Chắc là độ bền không cao thôi chứ hình thức như vậy là ok rồi. Ứng ý Ok,2.0
"các sp của avi  , khá ok , đúng như  hình ,  nhưng đóng gói khá sơ sài,  chỉ có túi nilong vs hộp giấy ở ngoài hi vọng shop cho thêm cái hộp giấy để đựng ",1.0
"Lót giày đểu nên đi bị gai chân rất khó chịu, giày thì đẹp như mô tả nhưng mọi người nên đặt nhỏ hơn 1 cỡ vì giầy rộng hơn bình thường  ",1.0
khá ổn. nhưng chân mình bé quá đi size 39 vẫn  lỏng. hơi buồn vì k có 38  ,1.0
"Rẻ, đẹp, hợp thời trang, cũng nhẹ nữa. Chưa biết đi thế nào. Một điều lưu ý là các bạn nhớ chọn size cho kỹ chứ ko đổi đc nha ",2.0
"có vài sợi tóc dính ở bên hông của giày,  giày ko biết là do sản phẩm như vậy hay là do lỗi nhưng giày thực sự rất cứng và nặng ",0.0
 Ưng lắm,2.0
"Hàng đẹp, như hình, dáng ôm chân, đáng với số tiền bỏ ra. Tiki giao hàng nhanh, cho 5* về dịch vụ  ",2.0
"Hàng đẹp, chất lượng tốt so với tầm giá. Nhưng mà nói chung giầy rất êm và đẹp.  ",2.0
giày đẹp giao hàng nhanh..đúng form ..nhưng chất lượng thì phải qua sử dụng mới biết đc..tiếp tục ủng hộ shop..mọi người cũng nên mua đi nha rất  về sản phẩm,2.0
Giày ở ngoài rất đẹp ...chất cũng rất ok..cảm ơn tikiii  ,2.0
shop ơi mình có đặt đôi này sire 43 nhưng to qua mún đổi lai 42 thì phải làm thế nào shop oi mianh nhận dc giày ròi mà sire to qua mún doi lai sire nho hon dc k bạn,1.0
tôi nhận được hàng đúng mẫu mã và chất lượng. sản phẩm tốt. không bị lỗi. thanks shop uy tín! ,2.0
"mình  với san phẩm.giao hàng nhanh,mình rất thích ..........................................",2.0
Đã mua sản phẩm và đúng như hình đã đăng. Cảm thấy  với sản phẩm này Sản phầm đạt yêu cầu,2.0
hàng đúng như hình.giao hàng nhanh.shop đống gói hàng sơ sài.họp dẹp đép.còn chất lượng thì chưa mang nhiều chưa nói đc ,2.0
"nói chung là tầm giá này cũng ổn. Giầy đẹp, đóng gói cũng đẹp. Cám mơn shop rất nhiều..  với sản phẩm",2.0
"mình mua đc giày đẹp, đúng như quảng cáo nha mọi người. giá cả hợp lý quá chừng. sẽ ủng hộ tiki tiếp giày tây",2.0
"Chất lượng tạm ổn, đóng gói kĩ lưỡng, khá .  ",2.0
"Giày cũng Ok với giá tiền-thích,giày size chuẩn,mua trừ hao size lớn hơn nhưng lại rộng ",2.0
Rất tốt.  Đã vậy còn rẻ. Vừa túi tiền ,2.0
"Ảnh chụp là đã qua sử dụng 1 tuần , Giày êm nhẹ ôm chân, a e nên mua đôi này.  ",2.0
Giày đẹp quá lại còn mềm nữa  ,2.0
"Giày đẹp, vừa chân, êm. ",2.0
"Ko biết bền hay ko, nhưng đẹp và đúng như mô tả. Vote shop 5sao.  ",2.0
Hàng đẹp và chất lượng tôi rất   ,2.0
Giày Nhật chính hãng rất đẹp  ,2.0
hàng  tốt :D  ,2.0
san pam tot y nhu hinh  ,2.0
TIKI có nhiều mẫu giầy lười với giá khác nhau tùy theo chất lượng và mẫu mã.,1.0
"giày khá êm, nhìn cũng rất ổn. với giá này thì quá rẻ. hàng thường nhưng tiki đóng gói vẫn cẩn thận. đăc biệt là shipper khí giao hàng của tiki luôn vui vẻ thân thiện tốt",2.0
"Chất lượng tuyệt vời, đóng gói sản phẩm rất đẹp chắc chắn, Giá rẻ,êm chân lắm mình sẽ giới thiệu, ủng hộ shop  ",2.0
"Chất liệu tốt, kiểu dáng và màu sắc trang nhã, độ bền thì chưa thể nào nói trước được Sản phẩm nên mua tốt trong tầm giá",2.0
"Giày mềm mại,mang rất thoải mái, vừa túi tiền...và có thể chạy bộ!rất ok  ",2.0
giày rất ok nhưng đế giày mềm quá nếu đạp lên vật cứng thì không được an toàn ,1.0
"Giày đẹp, mềm, đi dễ chịu mà rẻ, độ bền thì phải đợi thời gian kiểm chứng.!  ",2.0
Đi rất êm chân vì giày có lớp đệm massage chân.,2.0
Bitis thì chắc không cần phải nói nhiều rồi hen,2.0
Mua trên Tiki được giảm 134k Giao nhanh 2h . 3g30 đặt hàng 6g shipper đã gọi. ,1.0
"sau 1 năm sử dụng chưa bung 1 sợi chỉ nà, mang mỗi ngày chứ không phải lâu lâu mới mang đâu nha... gần như còn nguyên bản so với lúc mới mua. ",2.0
"ngoại hình đến khi mang vào đều rất được. Tuy nhiên mang lâu thì sẽ nóng chân cái này thì chấp nhận. mang rất êm, cao thêm được mấy phân nữa.",2.0
"sản phẩm chất lượng, đẹp OK",2.0
"phần cổ chân rất ôm.Giày đóng trong hộp bitis hunter to,nhìn sang lắm tuyệt",2.0
"Lót chân là đã nhất, ôm sát lòng bàn chân tạo cảm giác chắc chắn. Mang 1 buổi chạy với nhảy thì thấy phần cổ chân hơi cấn cấn chút, này mang chạy bộ hay leo núi sợ sẽ đau chân đây. Ổn định!",2.0
" Sự trở lại ngoạn mục của Bitis trong nhữg năm gần đây là ko ngoa. Thiết kế đẹp, mang êm chân, thông thoáng. Nên có 1 đôi trong tủ giầy. giá tốt, chất lượng ổn, giao hàng nhanh cực",2.0
"mình mua đôi này là đôi thứ 2 bên shop, vẫn rất , giày nhẹ có thể chạy bộ giá tiền phù hợp với chất lượng",2.0
"Giày giống hình, mẫu mã đẹp. Giao hàng đúng hạn. Chất lượng chấp nhận được với mức giá ",2.0
dày đẹp..rất đúng ý mình  ,2.0
"Đóng gói đẹp thời gian giao hàng nhanh, chất lượng sản phẩm tốt giá hợp lý , cảm ơn Tiki!  ",2.0
rẻ mà bền  ,2.0
Ti ki giao hàng nhanh.  ,2.0
Ổn với giá ,2.0
"Nghe lời khuyên mua hơn 1 size. Mang dư mủi chân khoảng 1,5cm đến 2cm.",1.0
 Thanks tiki mang đến deal quá ngon. hàng bitis đi hoài một tình yêu,2.0
"Dịch vụ giao hàng khá nhanh. Giày đẹp như hình nhưng phần gia công chưa thực sự tốt, chỉ thừa và phần keo chưa làm sạch hết. ",1.0
"sản phẩm hoàn thiện ko lỗi , đường keo dán chắc ko lộ, đóng gói cẩn thận, màu sắc ngoại hình sản phẩm giống ảnh, Tiki giao hàng khá nhanh ",2.0
Đây thực sự là một trong những sản phẩm thương mại tốt nhất của sản phẩm giày dép Việt. Trình độ gia công tốt + Tư duy làm thương hiệu rất chuẩn.,2.0
Mình nhận được hành sớm hơn dự kiến. Cảm ơn Tiki vì điều này. Hiện tại mình thấy hàng tốt và thời gian giao hàng nhanh nên mình cho 4*. ,2.0
"giày đi êm hơn so với đời trước đế cao, đi khá tự tin. Giày đẹp, nhưng hơi chật phần mu trên bàn chân",1.0
"Tiki giao hàng nhanh sớm hơn dự định. Sản phẩm đẹp, vừa ok. Nhưng còn chỉ thừa và keo thừa, bị lỗi may 1 số nơi và chấm cam là sơn nhìn không ưng lắm.",2.0
"Giày đẹp, êm chân hết sức các bạn ạ. Đặc biệt là tăng được 5 cm, nhìn tướng tá cao ráo đẹp trai hẳn :)) Hết sức đẹp trai",2.0
"Rõ ràng đơn hàng đặt màu xám tro, shop lại giao màu trắng ngà. Ko hiểu kiểm duyệt đơn hàng kiểu gì?!? ",0.0
cho 5 sao vì sản phẩm tốt .,2.0
"rất giống với mẫu hình , dù ko đẹp cho lắm so với tầm giá cũng khá là đc , và một điều rằng nhân viên giao hàng rất nhiệt tình dù vùng sâu vùng sa hàng luôn giao tận nơi... Đẹp vừa vạt",2.0
mình nhận đc rồi shop nhé giầy đẹp chất như ý luôn ạ đi êm nói chung là oki được giá. sản phẩm của shop rất tuyệt vời nhận xét,2.0
"mùi giày  kinh dị. Có mùi của cá khô, giặt rồi mà chưa hết được mùi. giao hàng siêu nhanh, ",1.0
 Mọi thứ đều hoàn hảo và mình thấy chất lượng sản phẩm tương xứng giá thành,2.0
Giày đẹp. chắc chắn. đế đi êm. đóng gói đẹp. rất .  về sản phẩm. giao hàng siêu tốc,2.0
"giày đi êm, cảm giác chắc chắn, đặc biệt là lót giày. cảm giác thoải mái  về kiểu dáng và chất lượng",2.0
"sản phẩm giống hình, cực đẹp. good good! nói chung là lần sao có mua tiếp tục ủng hộ shop hàng chất lượng",2.0
"hàng đẹp , chất lượng , nhân viên giao hàng thân thiện  ",2.0
180k thế này là đẹp r  ,2.0
"Giao đúng mẫu đúng size, hơi chậm chút thôi  ",1.0
gửi hình như nhầm r thì phải  ,0.0
Sản phẩm đẹp đúng mẫu  ,2.0
"Tiki gói hàng khá cẩn thận, giao nhanh.",2.0
 Toàn bộ tiền bỏ ra đều xứng đáng !,2.0
"Cách đóng hộp khá lạ. Đi lên chân form đẹp. Giày đẹp, giá hợp lý cho 1 đôi giày thương hiệu Việt",2.0
giày thì đẹp đi cũng rất ok. giá tốt. nhưng giày màu trắng và bằng vải. ko hợp lí để đi chỗ nào bẩn. chắc phải giặt luôn tục giày đẹp.,2.0
"Đang cần gấp 1 đôi canvas thì thấy mẫu này, order liền, hàng tới nhanh. Form giày ở ngoài đẹp hơn trong hình. Đôi  nhất của Bitis từ trước giờ. Giày đẹp hơn mong đợi",2.0
"Giao hàng nhanh hơn dự kiến, hàng Việt Nam chất lượng cao, màu trắng kem, đẹp, vừa những bàn chân có kích thước lớn.  ",2.0
"Hàng đẹp đế chắc chắn mang khá thoải mái nhưng đi mưa rất dơ, nước đường mà bắn lên là xác định giặt không sạch được",1.0
"Giao hàng nhanh, giày đẹp, êm, mang nhẹ. Giày trắng dễ bẩn nên các bạn đi nhớ vệ sinh thường xuyên. Mình thấy bỏ 500k cho đôi này là  xứng đáng. Giày đẹp",2.0
"Chưa bao giờ thất vọng khi mua hàng trên Tiki, hãy tiếp tục phát huy.  ",2.0
"hàng đẹp lắm shop, mình mua rất ưng sản phẩm phản quang buổi tối rất đẹp hàng đẹp lắm shop",2.0
giày đẹp wá ạ  ,2.0
"hàng giống mô tả nhưng mình chọn màu xám shop lại gửi màu nâu (xanh rêu), cảm giác dép ok nhưng còn cái đế thì phải dùng với biết được, nói chung khá là ok ok",2.0
"Dẹp đi cảm giác nhẹ, êm, kiểu dáng thanh lịch, còn độ bền của dép thì đợi một thời gian mới biết đc )  ",2.0
"So với giá tiền thì chất lượng rất tốt, quai có lớp lót mềm, mỗi tội mình đặt 42 mà lại giao 41  ",2.0
"sản phẩm đẹp, nhìn bắt mắt và chất lượng cao, mình sẽ ủng hộ shop và tiki nhiều hơn nữa.... sản phẩm rất tốt",2.0
"Hàng được đóng gói rất cẩn thận, giao hàng sớm, sandal rất đẹp giá cả hợp lý.  ",2.0
"Giày đẹp giống mô tả, giá phù hợp với sản phẩm, giao hàng nhanh ",2.0
mua hàng trên tiki nhiều lần luôn đúng hình ảnh và chất lượng không sai sót rất yên tâm uy tín,2.0
"giày đẹp giống như mô tả , rất  với sản phẩm này  ",2.0
"dép chắc chắn, giá bình dân. khá hài lòng với sản phẩm  ",2.0
"Mình chưa đi thử nhưng trông bề ngoài thì rất ưng ý với mẫu giày này, bạn nào còn đang do dự thì quất ngay luôn đi. Giày đáng đồng tiền bát gạo đó ae ạ !",2.0
"Đã nhận đc hàng đúng theo mẫu mã.Mặc dù chưa đi nhưng thấy hình thức cũng được,trông khá chắc chắn. 5 sao cho shop  ",2.0
sản phẩm tốt đẹp. nhìn rất chắc chắn sẽ ủng hộ shop nhiều hơn  ,2.0
Hàng tốt đảm bao yeu cau khách hang vua Long đẹp vua chân tốt 5sao ⭐️⭐️⭐️⭐️⭐️  ,2.0
ok hàng đúng mẩu,2.0
"Mẫu mã ưng ý, giống quảng cái, mọi thứ ổn. Cảm ơn shop!  ",2.0
Hàng ok đóng gói cẩn thận giao hang sớm nhan viên giao hàng vv  ,2.0
"Dễ đi, ko bị bí nóng chân, giày cũng êm chân, đáng giá tiền  ",2.0
"rất đẹp,mang rất vừa chân! Cảm ơn shop! ",2.0
hàng về rất OK.nói chung thì rất hài lòng  ,2.0
Chất lượng phù hợp với giá thành. ,2.0
"giày đẹp, thoáng  ",2.0
em vừa mới nhận được hàng đây là đon hàng đầu tiên emmm mua trên tiki vận chuyển nhanh hơn dự kiến hộp thì cũng ko móp méo nhiều,2.0
Giao nhanh ngay trong ngày mặc dù không dùng Tiki Now. Hộp đẹp. Giày đẹp. Đi rất vừa và êm ,2.0
"Giày Biti’s Hunter thì vừa tốt trong tầm giá tiền, vừa có thiết kế đẹp.  ",2.0
"Giày phối 3 màu rất đẹp, đi vào chân còn đẹp hơn trên ảnh. Mẫu này mình đi đúng size, không cần phải tăng hay giảm. Tiki giao hàng rất nhanh ",2.0
Sản phẩm cực đẹp giao hàng siêu nhanh đóng gói cẩn thận. Thanks tiki and bitis  ,2.0
Giày mang rất êm nhẹ chân..size đúng với chân..nhưng vẫn có cảm giác chồm về phía mũi chân..về độ hoàn thiện ở tầm giá thì rất  Giày tốt trong tầm giá,1.0
giày mang nhẹ. thoải mái. bitis từ nào giờ mang bền :))) hãng nên có thiết kế theo mùa :)))) giày mình nhận hơi bụi nhưng ko sao :))) ok,1.0
"Phải nói là dòng này bitis phối màu đẹp.  Có tông màu tối nào là phải mua ngay. Giày đẹp, êm",2.0
"giày đẹp , đóng gói cẩn thận, giao hàng nhanh, shipper dễ thương . giày đi cực êm chân. đẹp lắm lắm luôn  ",2.0
rất  về sản phẩm .kiểu dáng đẹp . Ủng hộ shop ,2.0
Hàng đẹp.size 39 tôi thường đi nhưng mua đôi này thì đi nó hơi kick.ae nào nữa thì nên mua rộng hơn 1 số.tôi đã liên hệ tiki để hỗ trợ.hi vọng được đổi cỡ to hơn  ,2.0
shop ơi em đặt giầy nhưng hiện tại ko vừa có thể đổi lại hàng không ạ  ,1.0
cũng được.giay đẹp ,2.0
quá ok ạ e vuaef mua cho ck e .. rất ưng ý  ,2.0
"size hơi rộng hơn front chuẩn,nhưng hàng đẹp. good  ",2.0
Hơi kích chân. Nhìn chung là ổn ,2.0
"Giao hàng quá nhanh, quá nguy hiểm, do giao hàng quá nhanh nên lúc đó mình chưa chuẩn bị tiền mặt kịp, a giao hàng nói cà thẻ cho mình hơi bất ngờ vì điều này ",2.0
"giày đẹp, mang êm và thoáng chân, nhân viên giao hàng nhanh  ",2.0
"Mua hàng giá trị cao mình rất tin tưởng tiki, giày đẹp giao hàng rất nhanh nhưng mình mua giày trắng mà shop cho cái dây giày dự phòng đen thui :((  ",2.0
"Sản phẩm rất tốt, đẹp, đóng gói cẩn thận. Giao hàng rất nhanh. Thanks shop!  ",2.0
"Giày đẹp, tiki giao hàng nhanh . Tuyệt",2.0
Mình rất  khi mua hàng ở TIKI. Cám ơn TiKi nhé.  ,2.0
"Mới đặt tối hôm trc mà hôm sau đã có, vô cùng  Giày đẹp, giao hàng cực nhanh",2.0
"đẹp, chất lượng đã ủng hộ 6 đôi cho bitist  ",2.0
"giày đẹp, mình khá là ưng, từ chất liệu đế đi êm ái đến da bò mềm nhìn bền đẹp. xứng đáng so với giá tiền ưng. giao hàng nhanh. chất lương cao",2.0
Sp đẹp!! ,2.0
"Sp giống mô tả, y trong hình, tổng thể nhìn ok, chất liệu đế cá nhân ko thích lắm. Chất lượng khá, giao hàng tệ",1.0
"sản phẩm đúng size, tuy nhiên khi xem thấy có vài vết bẩn ",1.0
ok ngon bổ rẻ,2.0
Mình rất ok ưng ý đẹp hàng đóng gói cẩn thận rất oke ,2.0
Giày như hình đẹp nhưng không biết có bền không hi  ,2.0
"mẫu mã đẹp. giá cả rẻ, đi êm ái. ",2.0
đẹp vừa ý ,2.0
oki  ,2.0
"sản phẩm đẹp hơn mong đợi,rất vừa vặn và ôm chân,đường may đẹp,",2.0
"giầy đẹp, đế đi rất êm chân, may gọn gàng, keo dán mịn ko lỗi. rất tốt. giao hàng của tiki hơi chậm hơn so với các app khác nhưng ko sao.",2.0
"sản phẩm đẹp hơn mong đợi,rất vừa vặn và ôm chân,đường may đệp .đáng để mua.cảm ơn tiki đã  luôn phục vụ tốt.  ",2.0
"giày đẹp, da bò thật, đi khá vừa chân  ",2.0
good! nhưng chỉ có điều là mình mua số 39 nhưng Tiki lại đưa nhầm số 40 nên hơi to so với chân mình. Tại vì chân mình chỉ có 38 thôi. nhưng không sao đâu có mang là được rồi!  ,2.0
"Mình đặt hàng 1 ngày sau đã nhận đc, rất tin tưởng tiki về thời gian giao hàng. Giầy đúng da bò thật như mô tả, đã đi thử 1 hôm tuy giày mới nhưng lại rất êm, ko bị đau chân ",2.0
"Ưng, quá ưng!  Ghét mỗi cái logo bitis ở trên cùng thôi còn lại tinh tế vô cùng. Cứ phân vân bản này với go for love xong quyết định chọn em nó vì không thích 7 sắc cầu vồng. ",2.0
"Tuy nhiê tổng thể rất ok. Dáng đẹp, lên hình sang, trong có đế lót giúp tui ăn gian thêm tầm 4cm. ưng lắm ĐẸP - BỀN CHẮC",2.0
"Giày được đóng gói cực kỳ kĩ lưỡng và cẩn thận, trong hộp giày còn cho cả túi vài không dệt để đựng giày cùng hộp giày. Có thêm 1 cặp dây giày có họa tiết rất tông xuyệt tông với giày nữa. ",2.0
"giày đẹp lắm,lần đầu mình mua giày trên tiki nhưng thấy khá an tâm giao hàng Nhanh",2.0
"Hãng biti's thiết kế đẹp, chất liệu tốt. tuy nhiên có phần hơi cứng không khi di chuyển gây cảm giác thô gây tê chân.",1.0
"Hàng được đóng gói rất cẩn thận. Nhân viên giao hàng nhiệt tình. Kiểu giày lần này của Bitis nhìn rất đẹp, trông rất bảnh. Nhưng không hiểu sao khi mang vào, cảm giác không được thoải mái và êm chân như những đôi Hunter khác. ",1.0
"Giày có form đẹp và rất là nhẹ, đi trên chân khá là ok, chất lượng rất là tốt trong tầm giá.  Đúng là hàng Việt Nam chất lượng cao",2.0
"Đóng gói sơ sài hơn lần trước, chỉ quấn sơ lớp nilong mỏng, hộp chưa gì đã thấy hơi mốp, giày mới lấy ra đã thấy nhăn ở 2 đầu như trong hình. Nói chung là tạm được. ",0.0
" mua giày trên tiki chất lượng rất tốt , còn được giảm giá  , rẻ hơn store rất nhiều , mọi người hãy ủng hộ Tiki nhé , ai yêu thích bitis thì vào group của mình nhé  ",2.0
"Đóng gói kỹ, giao hàng nhành máy đẹp gà chạy song song 2 tần số rất nhanh, không xuyên tường nhưng vẫn ổn với sóng ổn định ",1.0
Nhưng chất lượng sản phẩm thì lại rất ok ,2.0
Hộp bị móp trong quá trình vận chuyển. Giầy thì xem qua ok không thấy lỗi. ,1.0
Giày đẹp. giao hàng nhanh. nhìn thì nghĩ là hơi nặng nhưng rất êm và nhẹ nè! Với tầm giá này là quá xịn. Mình mua hunter thấy có kèm dây giày nữa.  ,2.0
"Giày rất đẹp, lúc mới mang vào thì có cảm giác hơi chật và cứng, đi một hồi thì nó thoải mái hơn. Tốt",2.0
. Yêu cầu dữ liệu nhạy cảm của khách hàng là không chấp nhận được. Giày thì oke nhưng mà không bao giờ mua hàng Tiki nữa,0.0
Mua giày bitis thì khỏi chê rồi. Mà giao hàng đóng gói hơi bất ngờ luôn. ,2.0
"tiki giao hàng quá nhanh. hàng rất đẹp, đi ôm chân, chắc chắn. ",2.0
"giao hàng trước hẹn, hàng đúng hình ảnh quảng cáo  ",2.0
"Giao hàng nhanh, đóng gói tốt, hàng hóa bên trong đúng thứ mình đặt. có điều hôi keo quá! ngoài mấy thứ đó ra thì chẳng có gì để nói cả! Mọi thứ đều ổn",1.0
hộp đẹp :vv giày ok. giày bitis thì khỏi chê nhưng mẫu này nhìn  k thoáng khí chắc đi sẽ khá bí  ,2.0
"Sản phẩm đúng như mô tả, mở hộp hơi có mùi keo, giày đẹp giá tốt. Giày đẹp, nhẹ, thời gian giao hàng nhanh.",2.0
"giày mang rất dễ chịu,đẹp với form chân của mình .Đa phần thì rất tốt!! Hàng khá tốt",2.0
hàng đẹp như hình mình là người ít khi mua hàng trên mạng như mình nhận thấy shop bán hàng khá là chất lượng mình mong muốn là shop sẽ bán hàng chất lượng tốt như thế này về sau  ,2.0
giày rất đẹp ,2.0
đóng gói  kĩ càng( 2 lớp hộp 1 lớp giảm xóc ) giày thì cực tốt  ,1.0
"sp đẹp nhưng bên trong thiều chỉ nên hơi kiểu vướng vướng xíu nhưng được cái ,đẹp phù hợp giá  ",2.0
ok !! giao hàng ko đúng dự kiến đôi khi sẽ gây cho người nhận ko kịp cpi thời gian để nhận hàng ,1.0
"giày chất lượng tốt, đẹp ,giao hàng cũng nhanh. sẽ tiếp tục ủng hộ tiki ",2.0
"Mua về cho bố mà đi đẹp quá, anh hàng xóm cũng muốn mua mà lại đi vừa size 39 nên pass lại cho a luôn và đặt thêm 1 đôi cho bố. ",2.0
"Sản phẩm rất vừa , form đẹp, đi êm chân thoải mái. giao hàng cực nhanh đặt hàng hôm trước hôm sau có luôn. Bao gói cực kỳ cẩn thận luôn. Cảm ơn Tiki Sản phẩm đúng như mô tả",2.0
"Giao hàng nhanh , chuyên nghiệp , giày đặt giao đẹp y hình , rất cảm ơn shop , sẽ luôn ủng hộ nhiều ",2.0
Đúng là phải coi lại sự phân biệt màu nâu và đen của shop .Hay là hết màu đen nên giao đại mầu nâu cho khách hàng. Shop nghĩ sao về việc này. ,0.0
so sánh với giá tiền nói chung hàng rất ok. đang chờ có những mẫu mới để mua thêm. Thanks. ,2.0
sản phẩm ok trong tầm giá ,2.0
Hàng đẹp y hình!  ,2.0
mình thấy sp này mỏng và được làm bằng xốp cho nên khá nhanh nát bởi vì trc đây mình cũng có một cái như vậy,1.0
tấm lót là miếng xốp mỏng 5mm. Lót giày đi êm. Chỉ tiếc là nó hơi quá 1 cỡ so với số thực tế. ,2.0
"sản phẩm ok, giao hàng nhanh, sp phù hợp giá tiền  ",2.0
"đúng size 39, mang thì rất êm chân, thoải mái.😁😁😁😁😁😁😁😁😁😁😁😁  ",2.0
"do nhét bên trong giày nên ko thấy phiền lắm, do tùy form giày nên phải cắt bớt để vừa vặn hơn ổn",1.0
"Mình nhận được 4 đôi lót giày màu xanh đen, vừa với size giày mình đã chọn! Miếng lót giày tương đối êm. Vừa ý",2.0
Chất lượng tốt hàng hóa đảm bảo đúng như quảng cáo giới thiệu  ,2.0
"Tất đẹp, đúng như hình chụp! Chất lượng ổn  ",2.0
"đế giày bám tốt, khá cứng để bảo vệ bàn chân khỏi vật nhọn. Cảm ơn tiki và biti's. Rất đáng tiền....  ",2.0
"Nhưng giống như hình giới thiệu, không thấy lỗi gì. Giày mới nên rất đẹp. May mắn chọn đúng số nên mang vào vừa chân. ",2.0
giày nói chung là đẹp. hoàn thiện khá tuy vẫn còn đôi chút chỉ thừa. ,1.0
"Sản phẩm cực kỳ chất lượng. Giày màu đẹp, vải tốt, đi vào cực êm và cao hơn 5cm. Tặng túi và dây giày. Rất rất rất  về sản phẩm của Bitis???? Tuyệt vời! ?",2.0
"giao hàng nhanh, sp ok  ",2.0
"Giày ngon, giao hàng nhanh. ",2.0
"Sản phẩm rất đẹp, mẫu mã hợp thời trang thích hợp đi du lịch, mang vào rất êm. Sản phẩm chất lượng tốt",2.0
"Giao hàng siêu nhanh, mình ở tỉnh cứ nghĩ tầm 4 5 ngày mới nhận dc, nhưng chưa đến 2 ngày là đã nhận thật sự bất ngờ  ",2.0
nó rất đẹp nhưng tiếc là hơi chật nên mang store đổi size. Xui cái là hết đôi màu đen tím than. mình đổi sáng màu đen lun. nhân viên vẫn vui vẻ chấp nhận đổi. tuyệt vời đổi size và màu sắc dễ dàng,2.0
"Thiết kế đẹp, chất lượng thì sau một thời gian sử dụng mới biết nhưng cảm quan ban đầu thì khá . Tiki đóng gói cẩn thận, sử dụng tiki now 3h giao hàng nhưng chỉ 1 tiếng sau là có hàng, phải nói là cực nhanh",2.0
" Chất lượng giày không bàn cãi gì nhiều, ủng hộ tiki ủng hộ hàng việt nam. Giầy đẹp, chất lượng",2.0
"Mình thực sự đánh giá cao Bitis giày Việt Nam chất lượng cao. thực sự mà nói, chất lượng hợp với giá tiền. Like  ",2.0
"giao hàng rất nhanh , hàng chuẩn bitis chính hãng ,  chất lượng 0k . nói chung là hoàn toàn hài long.  ",2.0
"Giao hàng cực nhanh. Sẽ tiếp tục ủng hộ. Chất lượng cao, hóng mẫu 2020",2.0
"Chất lượng sản phẩm tốt, vải mịn, giày mang đi êm chân. Màu thực tế hơi đen hơn so với trên ảnh.Nhưng rất hài lòng, sẽ tiếp tục ủng hộ Tiki và Bitis Việt Nam Sản phẩm chất lượng!",2.0
"Lần đầu tiên đi thấy có thiện cảm với hàng Việt, giày chất lượng rất tốt so với giá thành. Đi rất êm và thiết kế đẹp. Hãng cũng rất chu đáo khi gửi kèm dây thay thế và túi đựng giày. ",2.0
mình tin tưởng tiki nên đã đặt hàng dù giá có cao hơn các app khác 1 ít.   Với có cả túi đựng nữa. cảm ơn tiki ,1.0
"mình rất  về thiết kế hoàn thiện, đầy cảm hứng và sáng tạo của mẫu này. mang rất ôm chân giống các mẫu khác hunter X 2k18. Thực sự quá đẹp",2.0
"Box dc gói cẩn thận, có lớp bọc khí chống sốc, a shipper rất lịch sự, giày rất ưng mình đi thử rất êm chân, hộp giày mới và túi đầy đủ, mình mua sale 50%",2.0
"Cực kỳ thích đôi giày này, mang lên chân vô cùng đẹp, màu sắc cực chuẩn.",2.0
"Giày đi êm chân với lớp đệm đi êm và mềm. giày đẹp thực sự, đi rất thoải mái",2.0
"Tiki giao hàng nhanh, tuy vỏ hộp có hơi cấn và bám bụi nhưng với sản phẩm nhận được và cách phục vụ của TiKi cảm thấy rất chi là hài lòng. ",2.0
\Sẽ tiếp tục ủng hộ Bitis Hunter và Tiki The RED Pride - Phiên bản đặc biệt dành cho các Fan,2.0
"chờ cả 1 năm mới có giầy trên chân nhưng xứng đáng, nhìn ngoài rất đẹp, có điều bộ đế vẫn là 1 điểm trừ khi đi nhiều sẽ bị nhăn đế",2.0
" màu đẹp, khi nhìn vào bảng size, nên chọn lớn hơn 1 cỡ cho thoải mái. Đủ bộ Áo, quả bóng mini lưu niệm, dây giày thay thế, đôi giày thì đẹp êm.",2.0
 Cảm ơn tiki đã giao hàng trước tết vì tưởng sau 18h đặt hàng là phải qua tết mới có. Thế là tết có thể tung tăng được rồi... Đẹp !,2.0
giày tạm ổn trong tầm giá. có điều cái đế giày có vẻ hơi mỏng nên cảm giác không đầm lắm tạm ổn,1.0
"Giày đẹp, Ba mình rất thích. Kiểu dán trẻ trung và đường ép giày rất chắc Giày đẹp, bền, kiểu trẻ trung",2.0
giày khá là đẹp. Và mình rất thích  ,2.0
Sản phẩm Giày Thể Thao Nam Mẫu Mới BAZAS BZ2299 cũng ổn,2.0
với mức giá như vậy thì như vậy là dùng tốt lắm rồi  ,2.0
giày nhe san pham đẹp nhung chất lượng thi đe thời gian moi biet hai long,2.0
"sp rất đẹp, phù hợp với giá tiền, mình thấy là mua được ",2.0
"Giày đẹp lắm, đúng hình  ",2.0
đẹp như trong hình chất liệu ổn ,2.0
Mình có mua một đôi chất lượng khá tốt nhưng mình đặt lộn size k biết h có thể đổi lại size k Mình muốn đổi size to hơn k biết có được hay k?,1.0
không sáng như trong hình nha đề nghị lần sau hàng hóa xịn sò hơn tí đê nha,0.0
"Cảm ơn bạn, tôi  với sản phẩm này. 
",1.0
"hàng mới nhận đeo thử thấy vừa chân,chưa sử dụng nên chưa nhận xét được nhiều,nhưng nhìn bề ngoài rất đẹp,đây là lần thứ 2 mua bitis trên tiki  ",2.0
